,0,1
400,BKSC,16.6
401,LFST,7.72
402,TY,27.57
403,HAL,38.64
404,WERN,38.74
405,GEOS,4.4
406,SBFG,17.22
407,IMVT,11.06
408,WTFCP,25.41
409,XXII,1.33
410,IHRT,8.57
411,GATE,10.05
412,PAA,11.88
413,ROCAR,0.0898
414,TWNK,26.26
415,DXYN,1.1148
416,MSGS,150.64
417,SANM,57.24
418,BYSI,0.8
419,PHIO,0.5852
420,EOLS,8.45
421,FCRD,4.02
422,LAZY,12.62
423,LBRT,17.861
424,GMED,69.815
425,VIIAW,0.022
426,ESI,19.275
427,GCV,5.14
428,GJH,8.88
429,EHAB,12.8
430,UE,15.16
431,JHX,19.7587
432,CCV,10.01
433,FAF,55.21
434,HPLTW,0.0527
435,HTY,4.895
436,COLD,29.135
437,MTEM,0.63
438,ABMD,258.06
439,EVEX,10.28
440,NEWTL,24.58
441,STAR^I,23.93
442,VIRT,22.58
443,BFRIW,0.4915
444,SCPH,5.32
445,PNI,7.47
446,AGNCO,19.42
447,NXL,1.4784
448,BHSEU,12.96
449,LPCN,0.4125
450,ML,0.8429
451,CLRB,2.1
452,NGM,5.61
453,AMAOW,0.034
454,RKLB,5.13
455,TNDM,56.1
456,LII,268.02
457,CSLMR,0.09
458,NIE,21.415
459,MBI,12.13
460,NBIX,115.57
461,CCVI,9.94
462,RDFN,4.57
463,LEGAU,10.37
464,DTRT,10.21
465,TACT,4.08
466,THACW,0.05
467,GGMCW,0.04
468,INN^F,18.693
469,ESQ,44.14
470,CRNX,18.75
471,MNST,93.54
472,MRNS,5.62
473,FRT,107.48
474,CRIS,0.789
475,SKYX,3.53
476,RAD,6.37
477,FGFPP,17.05
478,EOI,16.4301
479,PCH,45.13
480,CMCSA,31.95
481,GWIIW,0.18
482,GOTU,0.8372
483,GCBC,67.96
484,PWSC,20.03
485,GMGI,2.51
486,SRSAU,10.0398
487,BRZE,29.7
488,FIXX,1.51
489,ATOM,9.78
490,LNW,55.43
491,PDSB,5.38
492,LXU,13.88
493,GLW,34.715
494,ATGE,40.06
495,CND,10.125
496,OLP,24.2931
497,JAQC,9.785
498,GPN,103.08
499,RSLS,0.3064
500,ARR^C,19.55
501,ITCB,3.22
502,MBIN,24.17
503,SDGR,24.38
504,WSBCP,25.47
505,GNT,4.75
506,SNOW,156.64
507,IBTX,63.41
508,DFH,10.715
509,IACC,10.03
510,MS,90.22
511,FMY,11.25
512,CAKE,36.21
513,SBH,13.02
514,ORN,2.33
515,TNON,1.84
516,TFC^I,18.35
517,NCPL,1.78
518,WISA,0.5202
519,KRNLU,10.0073
520,SPG^J,61.4899
521,GPMT^A,19.25
522,NEXI,0.72
523,CUK,9.56
524,ALLY,28.73
525,E,29.87
526,ZIMV,8.2
527,DGNU,9.89
528,DCOMP,19.3215
529,PUCK,9.93
530,JRSH,4.1499
531,VIAO,1.7073
532,KSS,31.42
533,ZM,84.21
534,SMFL,0.41
535,MAX,14.1412
536,BRID,12.4399
537,WAL,73.7
538,LZB,26.8
539,OTEC,10.25
540,ALL^H,21.36
541,RPT^D,48.71
542,BAC^M,22.56
543,BFAC,10.15
544,WSBF,17.2
545,AAPL,155.74
546,DLR,108.1
547,RGS,1.28
548,CHDN,203.35
549,SF^B,23.9
550,SCUA,10.14
551,NWS,17.14
552,TCRT,1.19
553,LSXMA,42.76
554,PATI,8.4
555,PSB^X,14.297
556,CYTH,1.95
557,LIVE,24.56
558,RNAZ,0.7628
559,SZZL,10.13
560,BOCNW,0.1
561,SESN,0.5518
562,GSEVU,9.93
563,APGB,9.97
564,ASB^E,23.1617
565,SPOT,82.43
566,FRWAU,9.98
567,ADER,9.995
568,BGY,5.005
569,GPK,22.35
570,FPI,13.71
571,GNL,12.83
572,PCTY,228.36
573,EQIX,568.05
574,AUBN,24.0
575,SOVO,14.15
576,HERAU,9.99
577,TRC,18.03
578,GNTY,37.3
579,NBST,9.92
580,CYT,1.84
581,FLXS,16.1
582,AGM^E,21.25
583,DAN,18.61
584,SYK,223.095
585,TRTN^C,24.0205
586,INTG,50.43
587,FSR,8.495
588,IIIIW,0.026
589,APPN,49.7
590,KAR,14.81
591,COUP,52.19
592,JGH,11.54
593,ATAX,18.84
594,RCKT,18.94
595,EFXT,5.87
596,GXII,9.87
597,REVH,10.01
598,PARR,24.4
599,CNQ,62.235
600,KEQU,17.1055
601,MEOAU,10.21
602,UDR,40.16
603,TROX,14.215
604,GDEN,42.36
605,ROCC,39.98
606,CASS,43.26
607,HMST,26.56
608,NBN,43.2
609,VOR,4.83
610,GLOG^A,24.15
611,CLOV,1.57
612,SMR,11.8
613,CDLX,9.73
614,COF^L,17.4099
615,CVCY,18.69
616,DHBCW,0.0101
617,SRRK,9.26
618,ATCO^I,21.45
619,ALOT,11.945
620,BV,9.175
621,PSA^G,21.95
622,LMACA,10.03
623,EEIQ,1.22
624,VII,9.995
625,DDS,367.11
626,AOGOU,10.01
627,VZIO,10.23
628,NR,3.93
629,CLDX,35.47
630,KITTW,0.27
631,ENZ,2.425
632,CBFV,21.755
633,PETQ,8.39
634,MACA,9.98
635,PNRG,74.75
636,PRVA,32.74
637,KRP,17.84
638,MCW,10.685
639,DINO,63.29
640,SRCE,58.7
641,RACE,214.96
642,PSO,11.1688
643,FSBW,28.19
644,INGR,94.24
645,LGVN,3.61
646,WTM,1323.87
647,RNGR,10.77
648,FGBI,24.0
649,AREB,0.259
650,BRIVW,0.207
651,PUK,23.35
652,SPTKW,0.07
653,ASRT,2.61
654,GIL,28.88
655,BHFAM,15.69
656,INO,2.21
657,ZBRA,288.0
658,CLBR,9.84
659,QTWO,27.615
660,MPRAW,0.0399
661,ITUB,4.955
662,BSBR,5.34
663,DWACW,3.89
664,QCRH,51.8
665,LMAOU,12.46
666,CREXW,0.029
667,BSX,42.57
668,ICFI,119.97
669,SBUX,87.1
670,ASNS,0.725
671,IDXX,364.28
672,DTIL,1.42
673,AMAO,10.03
674,RUN,21.9
675,CVCO,233.34
676,ERES,10.07
677,NUW,13.38
678,DHAC,10.57
679,FYBR,23.48
680,LSBK,13.3
681,SHACW,0.02
682,BXSL,24.275
683,AGYS,62.9
684,FEDU,8.3
685,AROC,8.9
686,ANIX,5.45
687,FAT,8.02
688,KEP,7.29
689,AHL^C,23.06
690,SRG^A,23.34
691,AGCO,126.42
692,NXTP,0.2439
693,LNC,34.29
694,LBAI,18.46
695,PXMD,2.105
696,LPI,68.53
697,EDUC,2.588
698,UBP,19.2
699,OCC,3.61
700,HURN,74.7
701,RYI,27.42
702,HCVI,9.75
703,SYF,39.15
704,PET,3.6
705,VRSN,203.37
706,UONE,6.07
707,CKPT,0.9774
708,CPAC,5.99
709,DALN,4.75
710,RILYL,21.75
711,SNX,100.73
712,GLHAU,9.84
713,IGNYW,0.193
714,CZOO,0.3398
715,ENERR,0.0652
716,GPP,13.25
717,CODI^B,25.495
718,CEMI,0.32
719,LGV,10.01
720,WAFD,38.57
721,ACAQ,10.15
722,LU,1.925
723,CDAQ,9.86
724,GROM,0.3208
725,POWWP,25.26
726,RBCP,116.5
727,PACB,8.72
728,RILYO,23.52
729,XPDBW,0.07
730,MFGP,6.08
731,HRB,40.305
732,HNRG,7.45
733,ANIK,28.6
734,TGLS,24.06
735,FTCV,10.0
736,MARK,0.2769
737,AN,119.785
738,BYFC,1.12
739,PEI^C,2.67
740,BPACU,10.1001
741,JXN,36.59
742,NAVI,15.09
743,DEI,17.31
744,PX,9.92
745,TRUP,50.1
746,PSTG,31.095
747,PCOR,59.01
748,NTRSO,20.06
749,HRTG,1.42
750,CHE,491.0
751,MUSA,296.26
752,AVCTW,0.0407
753,PTRA,5.9
754,WLFC,38.27
755,SNCE,1.49
756,AGI,8.92
757,JUGGU,9.94
758,SKGR,10.08
759,JRO,8.12
760,OFLX,92.0
761,SPXX,17.1019
762,MRAI,0.9498
763,GTPA,9.89
764,BIOT,9.97
765,GALT,1.39
766,ITAQ,10.08
767,BC^A,24.34
768,MEDS,0.89
769,CBRL,114.87
770,NBXG,9.86
771,IPAXU,10.02
772,M,20.8315
773,LEO,6.06
774,ALR,0.94
775,SHEN,22.5
776,LTRPA,1.11
777,LNDC,9.91
778,LWLG,8.26
779,JBL,67.99
780,CHSCM,24.25
781,MAQC,10.35
782,BE,21.3267
783,ARTNA,53.55
784,IPG,32.605
785,TCPC,11.95
786,PTWOW,0.0509
787,TCN,9.035
788,NEP,77.8
789,OLIT,10.09
790,OBT,44.535
791,TSRI,7.2
792,AHT,6.8
793,NBB,15.6
794,PCM,8.63
795,EBR,8.49
796,TGT,173.65
797,BFLY,3.575
798,FTHY,13.98
799,HUN,29.05
800,FCNCO,20.23
801,KRNY,10.68
802,MNKD,3.49
803,HGEN,0.145
804,CII,17.77
805,MYN,9.2986
806,LPLA,260.19
807,THCA,10.42
808,YPF,7.93
809,APACU,10.12
810,NXLIW,0.1899
811,TGR,10.21
812,BRKHU,9.98
813,JAKK,17.0
814,GAM^B,25.495
815,ANTX,15.06
816,SHCR,1.91
817,SAN,2.665
818,FHN^C,24.7
819,GFI,11.275
820,BSY,35.42
821,GSEVW,0.09
822,VMGAU,9.99
823,CFLT,26.83
824,SON,58.93
825,ENTG,80.89
826,HAACU,10.03
827,GIC,25.13
828,EFTRW,0.1563
829,SAFE,31.03
830,IIII,9.99
831,CLPT,10.28
832,XRX,14.4
833,XPOF,21.38
834,PGR,125.37
835,FRG,29.84
836,PK,12.53
837,ALRM,60.93
838,SQSP,20.3
839,FL,33.42
840,NGVT,78.715
841,QRTEA,2.45
842,IQMDU,10.1401
843,ZTAQU,9.9
844,RC,13.165
845,SZZLU,10.2
846,NUZE,0.36
847,BBGI,1.07
848,CVV,6.12
849,WLY,46.88
850,GOSS,10.54
851,SHAK,50.95
852,ISPO,2.22
853,AEPPZ,50.84
854,NYT,36.6836
855,AENZ,0.9
856,INFI,1.24
857,MINDP,7.085
858,BF/A,70.37
859,NEWR,58.3
860,MNTSW,0.15
861,NCA,8.6
862,ARQT,17.5
863,HOTH,5.685
864,SWET,9.94
865,CLAS,9.98
866,EPR,39.74
867,LMB,8.08
868,PEGRW,0.1413
869,FRW,10.005
870,MVSTW,0.375
871,MSEX,89.94
872,PROV,13.7
873,CVLG,35.53
874,TPC,7.38
875,DHHC,9.91
876,KGC,4.27
877,AAIC^B,17.6
878,VENAR,0.44
879,CVGW,34.53
880,SHCAU,10.12
881,FSTX,5.76
882,GNLN,0.4937
883,PAGP,12.42
884,PFG,88.01
885,UAL,43.72
886,ATNX,0.193
887,HSII,28.57
888,MASS,16.12
889,HIIIW,0.0101
890,GB,3.81
891,MOBVU,10.16
892,LZ,8.96
893,PRLHW,0.0601
894,AIG,61.1
895,EQC,25.965
896,LPL,5.505
897,FUBO,3.505
898,ADERW,0.2786
899,OCFCP,25.245
900,TIXT,19.86
901,FRO,13.81
902,VRMEW,0.1667
903,CCCC,9.54
